Front Right,Rear Left,Rear Right,Front Left,Time
2.311185598373413,2.413846254348755,2.5117685794830322,2.8570244312286377,15834.0
2.307710886001587,2.412898540496826,2.504819393157959,2.8491275310516357,15834.0
2.3115015029907227,2.419532060623169,2.5114529132843018,2.8551292419433594,15834.0
2.308974266052246,2.4141621589660645,2.5117685794830322,2.8557608127593994,15834.0
2.3086583614349365,2.413846254348755,2.510505199432373,2.85481333732605,15834.0
2.3051838874816895,2.406580924987793,2.506082773208618,2.848179817199707,15835.0
2.3036043643951416,2.405001640319824,2.502608299255371,2.8453369140625,15835.0
2.302656888961792,2.409423828125,2.5051352977752686,2.8472321033477783,15835.0
2.3007614612579346,2.408160448074341,2.501344680786133,2.8466005325317383,15835.0
2.3029725551605225,2.405949115753174,2.5022923946380615,2.8466005325317383,15835.0
2.3070790767669678,2.4141621589660645,2.505451202392578,2.849759101867676,15836.0
2.306131362915039,2.4068968296051025,2.502608299255371,2.8478639125823975,15836.0
2.3045520782470703,2.408160448074341,2.5063986778259277,2.8491275310516357,15836.0
2.3073949813842773,2.411003351211548,2.508925676345825,2.8507068157196045,15836.0
2.3042361736297607,2.406580924987793,2.5045034885406494,2.8472321033477783,15836.0
2.305499792098999,2.406580924987793,2.5029239654541016,2.8466005325317383,15837.0
2.303288459777832,2.4078445434570312,2.5038716793060303,2.8462846279144287,15837.0
2.301077365875244,2.409423828125,2.5022923946380615,2.843125820159912,15837.0
2.3042361736297607,2.408160448074341,2.502608299255371,2.8469161987304688,15837.0
2.302656888961792,2.411003351211548,2.4966065883636475,2.8450210094451904,15837.0
2.311185598373413,2.4113192558288574,2.509873390197754,2.8557608127593994,15838.0
2.3108696937561035,2.4163732528686523,2.512084484100342,2.8541815280914307,15838.0
2.3102378845214844,2.414477825164795,2.5130321979522705,2.85481333732605,15838.0
2.3092901706695557,2.4154255390167236,2.5136640071868896,2.855445146560669,15838.0
2.3108696937561035,2.4135303497314453,2.512716293334961,2.8541815280914307,15838.0
2.307710886001587,2.410055637359619,2.5045034885406494,2.8472321033477783,15839.0
2.3051838874816895,2.4091079235076904,2.5073463916778564,2.848811626434326,15839.0
2.3036043643951416,2.408792018890381,2.503239870071411,2.8443892002105713,15839.0
2.3013932704925537,2.405001640319824,2.496290683746338,2.8412303924560547,15839.0
2.3042361736297607,2.408160448074341,2.503239870071411,2.8453369140625,15839.0
2.3086583614349365,2.412266731262207,2.5095574855804443,2.8541815280914307,15840.0
2.3073949813842773,2.412898540496826,2.5101892948150635,2.853865623474121,15840.0
2.309921979904175,2.4147937297821045,2.508294105529785,2.8513386249542236,15840.0
2.307710886001587,2.4141621589660645,2.5067145824432373,2.851654529571533,15840.0
2.311185598373413,2.4154255390167236,2.511137008666992,2.8522863388061523,15840.0
2.3045520782470703,2.406580924987793,2.501344680786133,2.845968723297119,15841.0
2.3017091751098633,2.406580924987793,2.5029239654541016,2.8472321033477783,15841.0
2.3029725551605225,2.406580924987793,2.4966065883636475,2.8421781063079834,15841.0
2.3017091751098633,2.408160448074341,2.5038716793060303,2.8469161987304688,15841.0
2.3045520782470703,2.408160448074341,2.5038716793060303,2.8478639125823975,15841.0
2.311185598373413,2.415109634399414,2.5101892948150635,2.853865623474121,15842.0
2.3092901706695557,2.4176366329193115,2.511137008666992,2.8541815280914307,15842.0
2.308974266052246,2.415109634399414,2.510505199432373,2.8541815280914307,15842.0
2.310553789138794,2.4160573482513428,2.5108211040496826,2.85481333732605,15842.0
2.309921979904175,2.4106874465942383,2.507662296295166,2.853233814239502,15842.0
2.3023409843444824,2.4091079235076904,2.5038716793060303,2.845968723297119,15843.0
2.3001296520233154,2.4078445434570312,2.498185873031616,2.8440732955932617,15843.0
2.3036043643951416,2.4119508266448975,2.5057668685913086,2.8484957218170166,15843.0
2.3051838874816895,2.408160448074341,2.5045034885406494,2.8428099155426025,15843.0
2.3045520782470703,2.407212734222412,2.50418758392334,2.8450210094451904,15843.0
2.310553789138794,2.410055637359619,2.5095574855804443,2.853233814239502,15844.0
2.3115015029907227,2.4214272499084473,2.5124003887176514,2.8544974327087402,15844.0
2.3096060752868652,2.412266731262207,2.5117685794830322,2.8570244312286377,15844.0
2.3108696937561035,2.412898540496826,2.511137008666992,2.8551292419433594,15844.0
2.311817169189453,2.4154255390167236,2.508925676345825,2.8529179096221924,15844.0
2.3036043643951416,2.404369831085205,2.4956588745117188,2.8443892002105713,15845.0
2.303920269012451,2.4046857357025146,2.502608299255371,2.8469161987304688,15845.0
2.3036043643951416,2.4078445434570312,2.5038716793060303,2.848179817199707,15845.0
2.300445556640625,2.4056332111358643,2.50418758392334,2.847548007965088,15845.0
2.303920269012451,2.4078445434570312,2.5029239654541016,2.8456528186798096,15845.0
2.3064472675323486,2.4075286388397217,2.5057668685913086,2.851654529571533,15846.0
2.3051838874816895,2.4084763526916504,2.5045034885406494,2.847548007965088,15846.0
2.299182176589966,2.4046857357025146,2.5000810623168945,2.8434417247772217,15846.0
2.3064472675323486,2.4106874465942383,2.5079782009124756,2.8484957218170166,15846.0
2.307710886001587,2.4091079235076904,2.5029239654541016,2.848811626434326,15846.0
